"Cell_ID_Myeloid","Cell_ID_Tumor","Distance","Cell_type"
"M_28","T_5",691.546144413242,"H+"
"M_29","T_5",1333.60056759956,"H-"
"M_30","T_5",1208.16147947908,"H-"
"M_31","T_5",479.021108761293,"H+"
"M_32","T_5",600.950838913135,"H+"
"M_33","T_5",464.455833815952,"H+"
"M_34","T_5",994.26842575368,"H+"
"M_35","T_5",1568.23884220549,"H+"
"M_36","T_5",589.408912198968,"H+"
"M_37","T_5",572.940390746262,"H+"
"M_38","T_5",535.651353847339,"H+"
"M_39","T_5",757.662409248106,"H-"
"M_40","T_5",1226.1318392048,"H-"
"M_41","T_5",647.558929811957,"H-"
"M_42","T_5",657.8949837695,"H+"
"M_43","T_5",1277.23557115992,"H+"
"M_44","T_5",1003.54042564204,"H+"
"M_45","T_5",1592.84721241116,"H+"
"M_46","T_5",686.743500239198,"H+"
"M_47","T_5",970.445150146184,"H+"
"M_48","T_5",1160.363540975,"H+"
"M_49","T_5",1427.97286580263,"H+"
"M_50","T_5",1008.0870221909,"H+"
"M_51","T_5",1257.38826562032,"H+"
"M_52","T_5",1501.90647364179,"H+"
"M_53","T_5",872.729494178606,"H+"
"M_54","T_5",839.461858628832,"H+"
"M_55","T_5",1159.7750269521,"H+"
"M_56","T_5",811.872891923163,"H+"
"M_57","T_5",1628.44191227839,"H+"
"M_58","T_5",1333.74611810394,"H-"
"M_59","T_5",1041.71613493799,"H-"
"M_60","T_5",1175.64660991222,"H-"
"M_61","T_5",881.307458050482,"H+"
"M_62","T_5",1165.51678621463,"H+"
"M_63","T_5",954.796753111111,"H+"
"M_64","T_5",1013.28517251889,"H+"
"M_65","T_5",1390.47994319989,"H+"
"M_66","T_5",1042.66475831317,"H+"
"M_67","T_5",1285.07589516589,"H+"
"M_68","T_5",1103.89600113717,"H+"
"M_69","T_5",990.983204217243,"H+"
"M_70","T_5",1069.56257349193,"H-"
"M_71","T_5",1168.58091009002,"H+"
"M_72","T_5",1185.38125721637,"H+"
"M_73","T_5",1530.66585157687,"H-"
"M_74","T_5",1314.43523443203,"H+"
"M_75","T_5",1129.00091547151,"H+"
"M_76","T_5",1058.50430386055,"H+"
"M_77","T_5",1836.9569958074,"H+"
"M_78","T_5",1341.55196424595,"H-"
"M_79","T_5",1435.4587191497,"H+"
"M_80","T_5",1132.44854748634,"H+"
"M_81","T_5",1524.0267754603,"H+"
"M_82","T_5",1232.95868641099,"H+"
"M_83","T_5",1366.26546870015,"H+"
"M_84","T_5",1808.14032144187,"H+"
"M_85","T_5",1497.57090622243,"H+"
"M_86","T_5",1275.00009117427,"H+"
"M_87","T_5",1341.47067642214,"H+"
"M_88","T_5",1658.04425252015,"H+"
"M_89","T_5",1841.24062925677,"H-"
"M_90","T_5",1518.32046026894,"H+"
"M_91","T_5",1955.46112470677,"H+"
"M_92","T_5",1457.2135053202,"H+"
"M_93","T_5",1712.42551979502,"H-"
"M_94","T_5",1876.9941390174,"H+"
"M_95","T_5",1511.09594135454,"H+"
"M_96","T_5",1434.64191741574,"H+"
"M_97","T_5",1493.13939773741,"H+"
"M_98","T_5",2075.02548659594,"H+"
"M_99","T_5",1783.02631812604,"H+"
"M_100","T_5",1491.13318116592,"H+"
"M_101","T_5",1759.90884821024,"H+"
"M_102","T_5",1513.32128222541,"H+"
"M_103","T_5",1986.90566023274,"H+"
"M_104","T_5",1731.28879198466,"H+"
"M_105","T_5",1999.49530989219,"H+"
"M_106","T_5",1756.10816000653,"H+"
"M_107","T_5",1739.9476595605,"H+"
"M_108","T_5",2019.46011592184,"H+"
"M_109","T_5",2078.88381621755,"H+"
"M_110","T_5",2025.24696080887,"H+"
"M_111","T_5",1820.55399634011,"H+"
"M_112","T_5",1846.33906882595,"H+"
"M_113","T_5",1868.22692753862,"H+"
"M_114","T_5",1941.8748423625,"H-"
"M_115","T_5",2254.0442364163,"H+"
"M_116","T_5",1838.36938372513,"H+"
"M_1","T_6",1790.23947693504,"H+"
"M_2","T_6",2288.21497328185,"H-"
"M_3","T_6",1890.86719220173,"H-"
